Basis,FA,Overall R2,Overall P,LNH partR2,LNH P,Beta_Canopy Cover,Canopy partR2,Beta_NO3,NO3 partR2
Areal,LSAFA,0.5838243290341747,0.007790736029017801,0.4645087958710669,0.011305859670282687,6.317011087142014e-4,0.001184552851136278,0.002212237516943238,0.4613197918148414
Areal,Tot_FA,0.46614415651737373,0.02561748897059617,0.42564450113558366,0.028548636996315734,-0.9518812520580495,0.1931168958180915,0.16122800702788984,0.17593130075511743
Areal,DHA,0.688455479315624,0.0019138457367129705,0.30346285605702567,0.01672764812650309,-3.73157836383905e-4,0.018506822282524316,2.487200628310815e-4,0.2610813058839506
Areal,ARA,0.5057058590389091,0.01776803996644546,0.2047616561085922,0.1160048288663796,-0.0027419333545913144,0.010826154453830616,0.001976349862657113,0.1786057770694634
Areal,EPA,0.47716842757398836,0.023204391509610824,0.18042255548120406,0.1567607383200038,-0.04388737328178939,0.10220338556058334,0.0057163127132669085,0.05505864007289951
Areal,sum_PUFA,0.544794915038173,0.011984958527340587,0.1524083231717674,0.1641923403053326,-0.094681985555184,0.09726883278726361,0.010302030302476938,0.03656722917607902
Percent,LSAFA,0.4021499458707961,0.04367446740925423,0.4787441610182638,0.02823418027954678,0.010999219400371362,0.3371757464366873,0.00151327808733558,0.20266441593511703
Percent,w3_w6,0.4067421904648538,0.042124162267949294,0.3077827556008671,0.07597143555018797,-0.008277933373155652,0.2799685623556172,2.6341076347062315e-4,0.009002017754774494
Percent,DHA,0.3255439393196179,0.07651376233000284,0.2164599545700699,0.1749083306459873,9.019239828118739e-4,0.05833700760109273,2.824623991248989e-4,0.1816908185847429
Percent,ARA,0.4816224741049482,0.02228085820504626,0.21476582792442145,0.11597872418321235,0.007839208244316812,0.12173241872710727,0.0013904540462765474,0.12161371233697815
Percent,EPA,0.2917236620406002,0.0958010571401369,0.031195697060372063,0.7569990473450301,-0.013339491529682172,0.013272699010752231,0.0024113284911773778,0.013772122175741475
Percent,per_PUFA,0.4152078686332147,0.03937670836908204,0.0049753002005819,0.946487814815464,0.007720425336823607,0.001114742063537455,0.002709264630436981,0.004359153938613081
