Basis,FA,Overall R2,Overall P,LNH P,LNH partial R2,Ecoregion partial R2,Beta_Ecoregion,Beta_Canopy Cover,Beta_NO3
Areal,LSAFA,0.5838243290341747,0.007790736029017801,0.011305859670282687,0.4841864469740373,0.18067055671445637,0.37925431411314264,6.317011087142021e-4,0.002212237516943237
Areal,Tot_FA,0.46614415651737373,0.02561748897059619,0.028548636996315734,0.38086726704526386,0.1953227224145814,46.871037511765195,-0.9518812520580503,0.16122800702788972
Areal,DHA,0.6884554793156241,0.0019138457367129677,0.01672764812650306,0.29392247108285,0.4541411813817595,0.08967386246797804,-3.731578363839054e-4,2.4872006283108145e-4
Areal,ARA,0.5057058590389091,0.01776803996644546,0.1160048288663796,0.19684715684317086,0.4080427997517149,0.8213636738230258,-0.0027419333545913175,0.0019763498626571116
Areal,EPA,0.4771684275739886,0.0232043915096108,0.15676073832000365,0.15635586870626167,0.44378338265105693,4.561924895456939,-0.04388737328178941,0.005716312713266903
Areal,sum_PUFA,0.544794915038173,0.011984958527340566,0.1641923403053325,0.13198216273657593,0.5227104703446098,10.993624145870534,-0.09468198555518406,0.010302030302476931
Percent,LSAFA,0.402149945870796,0.04367446740925428,0.028234180279546817,0.5294178496349191,0.019576161608653983,0.1331164123255769,0.010999219400371369,0.0015132780873355796
Percent,w3_w6,0.40674219046485416,0.042124162267949204,0.07597143555018773,0.27704680847336766,0.2854314557610462,0.42458952421249696,-0.008277933373155659,2.6341076347062255e-4
Percent,ARA,0.4816224741049482,0.02228085820504626,0.11597872418321235,0.2582985392898917,0.31844819605147023,0.6121256053482544,0.007839208244316814,0.0013904540462765468
Percent,DHA,0.3255439393196178,0.07651376233000284,0.17490833064598757,0.2492489794009025,0.21200744289796217,0.08392441895652701,9.019239828118751e-4,2.824623991248989e-4
Percent,EPA,0.2917236620406002,0.0958010571401369,0.7569990473450311,0.027115746947872863,0.426627475010119,3.7567834365826225,-0.013339491529682182,0.002411328491177377
Percent,per_PUFA,0.4152078686332149,0.03937670836908201,0.946487814815462,0.005609342876224475,0.5334196475756919,8.298156869314,0.007720425336823606,0.002709264630436977
