,,Rerun,,,,,,,,,Rerun,Rerun,Rerun,,Rerun,,,,,,,,,,,,,,,,,,Rerun,Rerun,Rerun,,,,Rerun,Rerun,Rerun,,,,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun,Rerun
FA_id,CapFork Alg1,CapFork Alg1,CapFork Alg2,CapFork Alg3,Diles Alg1,Diles Alg2,Diles Alg3,Hurricane Alg1,Hurricane Alg2,Hurricane Alg3,Hurricane Alg1,Hurricane Alg2,Hurricane Alg3,LickB Alg1,LickB Alg1,LickB Alg2,LickB Alg3,LewisP Alg1,LewisP Alg2,LewisP Alg3,LPiney Alg1,LPiney Alg2,LPiney Alg3,MillC Alg1,MillC Alg2,MillC Alg3,Mulberry Alg1,Mulberry Alg2,Mulberry Alg3,Perry Alg1,Perry Alg2,Perry Alg3,Perry Alg1,Perry Alg2,Perry Alg3,RoastEar Alg1,RoastEar Alg2,RoastEar Alg3,RoastEar Alg1,RoastEar Alg2,RoastEar Alg3,Sylamore Alg1,Sylamore Alg2,Sylamore Alg3,Sylamore Alg1,Sylamore Alg2,Sylamore Alg3,Cove Alg1,Cove Alg2,Cove Agl3,ELivingston Alg1,ELivingston Alg2,ELivingston Alg3,Spring Alg1,Spring Alg2,Spring Alg3
16:1w8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:1w7,4941.369526,4961.359693,1131.959118,2430.881695,654.1671243,1404.936942,923.9150422,9089.378667,8369.886529,10261.27504,10508.19346,9833.33587,0,13231.10738,412.8634247,2229.023702,3349.916498,3314.523832,3579.817939,5924.490853,1510.132281,3093.97504,3653.054285,6780.149198,14026.96104,7607.245326,4087.079031,2709.756573,3010.210173,28269.6721,16347.68742,39824.96416,27.69854652,105.808458,153.2580997,9136.84351,18509.8973,10178.59454,10230.93959,576.1892814,11403.40789,27536.49973,33540.4267,3990.401063,80.16629151,248.6519222,4284.010068,29756.2655,32320.02168,22509.1731,20515.3235,4294.570335,21405.29131,13072.03265,6821.95657,3191.006554
16:1w6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:1w5,300.2926769,294.2476855,65.85592471,146.6004519,237.8452263,674.6510017,458.6077713,1133.941971,979.1880955,1691.606345,1192.174427,1004.231806,1758.781633,1001.886049,1077.043046,131.180951,207.1191988,834.5183255,869.5626199,1465.505504,243.7747187,639.0042035,777.9291586,206.5989414,361.0509302,199.8022296,385.6908077,245.5779486,291.3740391,28289.37582,16121.63376,39901.95382,664.2398264,356.7934237,931.15975,8816.457003,18651.48738,9802.995742,231.6793449,525.3793898,277.3485597,26764.44684,33606.10022,161.3975067,1719.459422,2071.357861,165.1801293,1125.292679,1298.603349,1029.231674,1649.432463,439.2169797,1772.676016,89.44426176,36.99232896,21.78277835
i-17:0,21.10456405,20.0002006,4.263513615,6.838970046,9.24590244,20.30368085,13.99938411,24.86350739,18.64045062,39.45125022,19.44418967,16.1102908,36.23263844,30.62654148,28.5618047,4.197693094,6.875673743,11.15947094,14.7037958,24.48174357,5.022942825,12.86237197,14.00708082,41.5593897,66.31933698,43.05114963,17.88649043,11.23094227,11.93868706,35.6395161,18.59537977,53.11637721,38.28314187,21.48579116,53.84662056,19.25655317,47.77639541,26.63114172,21.91825436,45.7730445,27.06554634,47.3121406,52.32869032,5.265057819,51.82432079,52.79922668,0.107012083,38.08730943,39.4946313,36.23113202,38.138479,166.4920586,37.60782613,21.5853422,11.99330244,6.061294844
a-17:0,9.812826544,10.90682956,2.0156154,4.618117229,7.82533348,19.64560597,13.31259679,19.32980453,15.96753315,35.76824362,21.15625669,17.38389174,39.83725026,21.5755767,26.86839883,2.883632647,4.859330753,11.54705552,12.34650875,20.65115253,5.870099451,15.71681493,19.0620891,22.56214298,40.83703016,25.88338043,8.254169461,5.677695673,6.042013797,3.852224455,3.254487502,2.952037007,22.11996575,13.83756585,31.23103992,0.74857635,3.759147035,0.584402119,10.03559216,19.71061362,15.12260904,3.727305033,1.182542655,3.613958659,35.95421313,49.04906654,3.624452726,24.47231039,28.2943242,23.7082137,32.25501324,62.39329505,34.65857067,25.70004806,12.09714056,6.383301133
FA17:0,23.47819674,23.00925787,4.997827032,12.46239171,14.26915144,28.78962543,21.72906462,59.81856484,44.27107022,76.79301341,59.63190559,43.61195257,77.1152695,64.32050405,69.08819092,9.5086874,16.16425655,27.87643888,37.42286544,59.5707245,17.48550474,38.53497996,43.6000409,79.82377452,118.539152,92.20864055,70.99077056,49.51899257,49.9504285,97.31023404,48.3041732,111.5619759,99.75258837,50.58486429,129.7931076,67.18629125,127.8266066,69.98791398,66.32237653,128.6347542,70.86834355,144.0625606,135.031295,15.84029666,145.2607793,143.8861908,15.53071014,117.4705586,121.6001084,98.01547491,65.15323496,614.2325004,68.81596068,52.15895581,27.5690199,14.6607569
16:2w7,132.4556909,119.5759235,20.63570562,61.27523834,14.2178938,34.93319159,22.32058789,17.25322067,19.05561581,105.1729961,15.09778145,17.20629798,102.2868247,301.7720575,301.6292687,38.61269285,59.26707887,47.10529381,41.68440233,77.83674683,4.002995047,39.84489557,76.9164925,735.4326611,908.3531071,694.7442879,52.57365495,37.17740099,39.22377771,921.0118353,493.373595,1341.590921,942.0394913,503.752042,1387.999029,477.4415787,1204.012878,734.7966427,473.4966385,1223.228972,757.6188092,615.4434806,1569.123387,73.00114449,641.8974332,1628.378929,70.53957353,402.7438125,582.2127381,380.6921046,388.9708664,312.7554452,450.8891138,366.3774568,170.8656205,88.83585256
16:2w6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:2w4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:3w6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
